"","TARGET","GENDER","BALANCE","OCCUPATION","AGE_BKT","SCR","HOLDING_PERIOD","ACC_TYPE","LEN_OF_RLTN_IN_MNTH","NO_OF_L_CR_TXNS","NO_OF_L_DR_TXNS","NO_OF_BR_CSH_WDL_DR_TXNS","NO_OF_ATM_DR_TXNS","NO_OF_NET_DR_TXNS","NO_OF_MOB_DR_TXNS","NO_OF_CHQ_DR_TXNS","FLG_HAS_CC","AMT_ATM_DR","AMT_BR_CSH_WDL_DR","AMT_CHQ_DR","AMT_NET_DR","AMT_MOB_DR","FLG_HAS_ANY_CHGS","AMT_OTH_BK_ATM_USG_CHGS","AMT_MIN_BAL_NMC_CHGS","NO_OF_IW_CHQ_BNC_TXNS","NO_OF_OW_CHQ_BNC_TXNS","AVG_AMT_PER_ATM_TXN","AVG_AMT_PER_CSH_WDL_TXN","AVG_AMT_PER_CHQ_TXN","AVG_AMT_PER_NET_TXN","AVG_AMT_PER_MOB_TXN"
"12","0","M",272607.05,"PROF","41-45",164,24,"CA",183,4,4,2,1,0,1,0,"1",8900,362780,0,0,171334,"0",0,0,0,0,8900,181390,0,0,171334
"13","0","M",124500.74,"SENP",">50",239,20,"SA",142,5,4,1,0,0,0,3,"1",0,270160,18290,0,0,"0",0,0,0,1,0,270160,6096.67,0,0
"14","0","F",66013.8,"SENP","41-45",912,3,"SA",200,4,3,2,0,0,0,1,"1",0,660120,0,0,0,"0",0,0,0,0,0,330060,0,0,0
"15","1","M",25481.82,"SELF-EMP","26-30",499,9,"SA",74,1,1,0,0,0,0,1,"0",0,0,77670,0,0,"0",0,0,0,0,0,0,77670,0,0
"16","0","M",1563443.12,"SAL","46-50",525,9,"SA",198,14,6,2,1,1,0,2,"1",5500,546350,17390,14201,0,"0",0,0,0,0,5500,273175,8695,14201,0
"17","0","F",65208.82,"SENP","41-45",472,21,"SA",107,6,3,2,0,1,0,0,"1",0,476530,0,407286,0,"0",0,0,0,0,0,238265,0,407286,0
"18","0","M",18939.94,"SAL","31-35",280,26,"SA",42,5,4,2,0,2,0,0,"1",0,685160,0,455802,0,"0",0,0,0,0,0,342580,0,227901,0
"19","0","F",1136890.47,"SENP","46-50",723,11,"SA",128,9,5,2,1,1,0,1,"1",2700,864840,0,943000,0,"0",0,0,0,0,2700,432420,0,943000,0
"20","0","M",830319.46,"PROF","31-35",499,18,"SA",200,16,15,0,2,4,1,8,"0",44100,0,844830,510764,52825,"0",0,0,0,0,22050,0,105603.75,127691,52825
"21","0","M",233344.83,"SAL","36-40",597,4,"SA",30,18,14,3,2,4,1,4,"0",11700,816290,341900,396774,2141,"1",0,0,0,1,5850,272096.67,85475,99193.5,2141
"22","0","M",435841.81,"PROF","41-45",565,14,"SA",159,16,15,5,2,3,1,4,"0",31300,723400,46350,537413,198996,"0",0,0,0,0,15650,144680,11587.5,179137.67,198996
"23","0","M",10762.54,"SENP","41-45",199,5,"SA",185,12,6,2,1,1,0,2,"1",19200,615490,36780,66048,0,"0",0,0,0,0,19200,307745,18390,66048,0
"24","0","M",547116.54,"PROF","36-40",236,7,"SA",121,8,6,1,1,0,0,4,"0",9100,66570,25960,0,0,"0",0,0,0,0,9100,66570,6490,0,0
"25","0","F",35350.88,"SAL","36-40",330,26,"SA",103,5,1,1,0,0,0,0,"0",0,621600,0,0,0,"0",0,0,0,0,0,621600,0,0,0
"26","0","M",59282.02,"SENP","36-40",281,6,"SA",122,6,5,2,1,1,0,1,"0",7400,989280,0,111936,0,"0",0,0,0,0,7400,494640,0,111936,0
"27","0","F",1743832.48,"SENP","36-40",202,18,"CA",117,9,9,3,1,0,1,4,"0",7900,437620,15200,0,177483,"1",0,0,0,0,7900,145873.33,3800,0,177483
"28","0","M",1002330.71,"SAL",">50",155,11,"CA",213,58,23,2,3,7,1,10,"0",62300,625570,865910,41285,65064,"0",0,0,0,0,20766.67,312785,86591,5897.86,65064
"29","0","F",161366.04,"PROF","36-40",128,23,"SA",214,8,2,1,0,0,0,1,"1",0,222040,33810,0,0,"0",0,0,0,0,0,222040,33810,0,0
"30","1","O",14411.51,"PROF","31-35",618,1,"CA",145,17,22,4,2,7,1,8,"0",41600,636680,378500,93147,25651,"0",0,0,0,0,20800,159170,47312.5,13306.71,25651
"31","0","F",2532663.66,"SENP","26-30",171,13,"SA",88,4,3,0,0,0,0,3,"0",0,0,94560,0,0,"0",0,0,0,0,0,0,31520,0,0
"32","0","M",1097597.16,"SENP","41-45",765,16,"SA",200,8,5,1,1,1,0,2,"0",2500,358350,58740,116717,0,"0",0,0,0,0,2500,358350,29370,116717,0
"33","0","M",22259.73,"SENP","31-35",476,25,"SA",151,4,1,1,0,0,0,0,"0",0,254670,0,0,0,"0",0,0,0,0,0,254670,0,0,0
"34","0","M",43917.05,"SAL",">50",592,30,"CA",68,51,2,1,0,1,0,0,"0",0,465750,0,373865,0,"0",0,0,0,0,0,465750,0,373865,0
"35","0","M",3456.03,"SAL",">50",483,10,"SA",88,13,7,3,1,1,0,2,"0",3100,133190,19190,842341,0,"0",0,0,0,0,3100,44396.67,9595,842341,0
"36","0","M",5670.82,"PROF","46-50",178,5,"SA",96,2,2,0,0,0,0,2,"0",0,0,31480,0,0,"0",0,0,0,0,0,0,15740,0,0
"37","0","M",295709.23,"SAL",">50",290,18,"SA",136,6,5,1,1,1,0,2,"0",17900,774010,81670,340755,0,"0",0,0,1,0,17900,774010,40835,340755,0
"38","0","M",89630.23,"PROF",">50",116,9,"CA",32,26,24,12,3,7,1,1,"0",54900,850830,94570,976148,171636,"0",0,0,0,0,18300,70902.5,94570,139449.71,171636
"39","0","M",19646.14,"SAL","<25",360,17,"CA",167,35,21,6,2,6,1,6,"0",48400,660740,716480,154356,83531,"0",0,0,0,0,24200,110123.33,119413.33,25726,83531
"40","0","M",117148.71,"SENP",">50",215,25,"SA",117,12,3,0,1,1,1,0,"0",8500,0,0,500020,65889,"0",0,0,0,0,8500,0,0,500020,65889
"41","0","M",185755.52,"SENP","41-45",480,2,"SA",133,6,5,1,1,1,0,2,"1",2100,777200,26220,950359,0,"0",0,0,0,0,2100,777200,13110,950359,0
"42","1","M",34474.55,"SELF-EMP",">50",809,1,"SA",55,8,6,2,1,1,0,2,"1",4700,756420,41810,840291,0,"0",0,0,0,0,4700,378210,20905,840291,0
"43","0","F",658891.83,"PROF","<25",513,16,"CA",180,6,6,2,1,1,0,2,"0",19400,90780,17000,647549,0,"0",0,0,1,0,19400,45390,8500,647549,0
"44","0","M",991845.61,"PROF","<25",194,21,"SA",212,2,4,2,0,1,1,0,"0",0,728020,0,702871,69321,"0",0,0,0,0,0,364010,0,702871,69321
"45","0","M",880516.16,"PROF","<25",609,23,"SA",221,2,3,1,0,2,0,0,"1",0,413070,0,928219,0,"0",0,0,0,0,0,413070,0,464109.5,0
"46","0","F",285794.82,"SAL","41-45",106,21,"SA",185,14,3,2,0,0,0,1,"0",0,834530,74540,0,0,"0",0,0,0,0,0,417265,74540,0,0
"47","0","M",1036410.61,"SENP",">50",236,15,"CA",66,42,17,6,2,0,1,8,"0",10700,586260,625310,0,125805,"0",0,0,0,1,5350,97710,78163.75,0,125805
"48","0","M",733690.7,"SENP","41-45",314,24,"CA",50,16,2,1,0,1,0,0,"0",0,892900,0,139146,0,"0",0,0,0,0,0,892900,0,139146,0
"49","0","M",9059.48,"SENP","31-35",234,7,"SA",169,6,4,0,0,0,0,4,"1",0,0,45620,0,0,"0",0,0,0,0,0,0,11405,0,0
"50","1","M",1366564.05,"PROF",">50",796,13,"SA",135,4,3,1,0,0,0,2,"1",0,789120,80510,0,0,"0",0,0,0,0,0,789120,40255,0,0
"51","1","M",157722.82,"PROF","31-35",720,7,"CA",197,67,66,0,10,20,24,12,"1",101300,0,4471280,345457,142402,"1",70,0,0,0,10130,0,372606.67,17272.85,5933.42
"52","0","M",277463.26,"SAL","36-40",178,17,"SA",142,8,5,2,1,1,0,1,"0",4200,938710,0,831551,0,"0",0,0,0,0,4200,469355,0,831551,0
"53","0","F",588239.97,"SAL","26-30",310,11,"SA",98,7,5,0,1,0,0,4,"0",10800,0,31120,0,0,"0",0,0,0,0,10800,0,7780,0,0
"54","0","F",140228.35,"SENP","26-30",361,29,"SA",141,2,2,1,1,0,0,0,"0",1900,362530,0,0,0,"0",0,0,0,0,1900,362530,0,0,0
"55","0","M",22196.98,"SELF-EMP","31-35",302,11,"SA",108,11,6,2,1,1,0,2,"0",16900,992890,91830,671588,0,"0",0,0,0,0,16900,496445,45915,671588,0
"56","0","M",17003.58,"SELF-EMP","36-40",135,11,"SA",54,2,2,1,0,0,0,1,"1",0,191010,0,0,0,"0",0,0,0,0,0,191010,0,0,0
"57","0","M",13047.59,"SAL","41-45",436,9,"CA",62,52,21,8,2,6,1,4,"0",48100,128100,562570,467113,66731,"0",0,0,0,0,24050,16012.5,140642.5,77852.17,66731
"58","0","F",884660.18,"SENP","36-40",319,22,"SA",168,7,2,0,1,1,0,0,"0",10500,0,0,847980,0,"0",0,0,0,0,10500,0,0,847980,0
"59","0","M",25232.58,"PROF","36-40",425,7,"SA",129,12,6,1,1,0,0,4,"1",3800,927280,77220,0,0,"0",0,0,0,0,3800,927280,19305,0,0
"60","0","M",274321,"PROF","46-50",610,20,"SA",140,10,5,1,1,1,0,2,"1",17300,654110,87750,65956,0,"0",0,0,0,0,17300,654110,43875,65956,0
"61","0","M",346999.44,"SAL",">50",796,29,"CA",79,6,1,0,1,0,0,0,"0",3100,0,0,0,0,"0",0,0,0,0,3100,0,0,0,0
"62","0","M",244981.44,"SAL","41-45",150,7,"SA",66,5,6,1,1,0,0,4,"0",12200,424580,42190,0,0,"0",0,0,0,0,12200,424580,10547.5,0,0
"63","0","M",343646.67,"PROF","31-35",341,25,"CA",82,43,1,1,0,0,0,0,"1",0,934960,0,0,0,"0",0,0,0,0,0,934960,0,0,0
"64","0","F",432974.12,"SENP","31-35",606,19,"SA",117,15,8,1,1,1,0,5,"0",17300,603050,605170,586875,0,"1",0,0,0,0,17300,603050,121034,586875,0
"65","1","M",459113.32,"SAL",">50",882,16,"SA",110,16,15,2,2,4,1,6,"1",45500,258490,149900,15901,173379,"0",0,0,0,0,22750,129245,24983.33,3975.25,173379
"66","0","M",149802.74,"PROF","46-50",211,21,"SA",183,14,2,1,1,0,0,0,"0",800,504650,0,0,0,"0",0,0,0,0,800,504650,0,0,0
"67","0","M",656560.01,"SELF-EMP",">50",227,17,"SA",93,6,5,0,1,0,0,4,"0",5300,0,31350,0,0,"0",0,0,0,0,5300,0,7837.5,0,0
"68","0","M",35472.44,"PROF",">50",633,7,"SA",32,10,5,2,1,1,0,1,"1",10600,691330,0,335723,0,"0",0,0,0,0,10600,345665,0,335723,0
"69","0","M",5359.8,"SAL","41-45",325,31,"SA",163,7,1,0,0,1,0,0,"0",0,0,0,597086,0,"0",0,0,0,0,0,0,0,597086,0
"70","0","F",65352.69,"SENP","<25",140,4,"SA",82,2,2,1,0,0,0,1,"0",0,249050,0,0,0,"0",0,0,0,0,0,249050,0,0,0
"71","0","M",41500.57,"SAL","36-40",350,2,"SA",217,18,14,4,2,3,1,4,"0",5200,912270,16930,318681,56834,"0",0,0,0,0,2600,228067.5,4232.5,106227,56834
"72","0","M",1156848.47,"SAL","26-30",975,13,"SA",181,6,5,2,1,1,0,1,"0",12000,594370,0,119221,0,"0",0,0,0,0,12000,297185,0,119221,0
"73","0","M",53809.93,"PROF","41-45",133,13,"SA",148,5,4,1,0,0,0,3,"0",0,907400,54060,0,0,"0",0,0,0,0,0,907400,18020,0,0
"74","0","M",9614.33,"SAL","26-30",211,24,"SA",135,4,3,2,0,1,0,0,"0",0,31560,0,523511,0,"0",0,0,0,0,0,15780,0,523511,0
"75","0","M",1316110.16,"PROF","41-45",952,22,"SA",106,3,1,0,1,0,0,0,"0",3300,0,0,0,0,"0",0,0,0,0,3300,0,0,0,0
"76","0","F",1585087.83,"SENP","<25",156,4,"SA",63,3,2,0,0,0,0,2,"0",0,0,47970,0,0,"0",0,0,0,0,0,0,23985,0,0
"77","1","F",5677834.48,"SENP",">50",196,4,"SA",46,2,5,2,1,1,0,1,"0",17500,512340,0,389787,0,"0",0,0,0,0,17500,256170,0,389787,0
"78","0","F",1583866.05,"SENP","<25",281,6,"SA",40,12,6,2,1,1,0,2,"1",12100,557200,76950,604699,0,"0",0,0,0,0,12100,278600,38475,604699,0
"79","0","M",62991.56,"PROF","26-30",939,1,"SA",179,6,5,1,1,1,0,2,"0",7900,619300,52340,17768,0,"1",0,0,0,1,7900,619300,26170,17768,0
"80","0","F",537015.73,"SENP","<25",155,4,"SA",61,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"81","0","M",696353.59,"SELF-EMP","36-40",888,14,"SA",174,14,7,3,1,1,0,2,"0",17400,872920,16210,324604,0,"0",0,0,1,0,17400,290973.33,8105,324604,0
"82","0","M",104992.52,"SAL","36-40",171,14,"SA",68,2,1,1,0,0,0,0,"0",0,352290,0,0,0,"0",0,0,0,0,0,352290,0,0,0
"83","0","M",57179.94,"SAL","36-40",573,9,"SA",183,7,6,2,1,1,0,2,"1",13400,853070,14400,346839,0,"0",0,0,0,0,13400,426535,7200,346839,0
"84","0","F",793332.01,"PROF","46-50",184,9,"SA",110,12,6,1,1,0,0,4,"0",3300,238320,15200,0,0,"0",0,0,0,0,3300,238320,3800,0,0
"85","0","M",37633.41,"SAL","26-30",738,26,"SA",182,4,1,1,0,0,0,0,"0",0,736500,0,0,0,"0",0,0,0,0,0,736500,0,0,0
"86","0","M",486469.59,"PROF","<25",140,9,"SA",208,14,8,2,1,1,0,4,"0",2800,694830,28900,712131,0,"0",0,0,0,0,2800,347415,7225,712131,0
"87","0","M",233733.91,"SENP","26-30",329,16,"SA",98,10,6,3,1,1,0,1,"0",2100,848460,0,191234,0,"0",0,0,0,1,2100,282820,0,191234,0
"88","0","M",457782.18,"SENP","36-40",251,18,"SA",167,10,6,1,1,0,0,4,"0",19800,732860,33430,0,0,"0",0,0,0,0,19800,732860,8357.5,0,0
"89","0","M",650244.39,"SENP",">50",341,17,"CA",210,43,17,9,2,0,1,5,"0",21300,724670,35240,0,9473,"0",0,0,0,0,10650,80518.89,7048,0,9473
"90","1","M",483701.66,"PROF","46-50",280,11,"SA",130,8,5,0,1,0,0,4,"0",14200,0,11480,0,0,"0",0,0,0,0,14200,0,2870,0,0
"91","0","M",439710.96,"SELF-EMP","26-30",451,24,"SA",107,4,4,0,1,2,0,1,"0",7900,0,13440,253050,0,"0",0,0,1,0,7900,0,13440,126525,0
"92","1","M",112159.38,"PROF","26-30",403,23,"CA",94,70,4,2,2,0,0,0,"0",3200,451430,0,0,0,"1",0,0,0,0,1600,225715,0,0,0
"93","0","M",70876.64,"SAL",">50",138,5,"SA",193,6,6,1,1,0,0,4,"0",1500,638970,65580,0,0,"0",0,0,0,0,1500,638970,16395,0,0
"94","0","M",73645.31,"SAL","31-35",479,9,"SA",81,8,6,2,1,1,0,2,"1",5200,576750,73760,542895,0,"0",0,0,0,0,5200,288375,36880,542895,0
"95","0","M",330397.16,"SAL","46-50",560,16,"SA",95,15,8,2,1,1,0,4,"1",3800,619910,27180,232952,0,"0",0,0,1,0,3800,309955,6795,232952,0
"96","0","M",105693.29,"SAL","31-35",562,18,"SA",52,8,6,3,1,1,0,1,"0",800,816300,0,818397,0,"0",0,0,1,0,800,272100,0,818397,0
"97","0","M",62815.32,"SAL","36-40",365,2,"SA",213,8,5,1,1,1,0,2,"0",5200,939940,55350,182050,0,"0",0,0,0,0,5200,939940,27675,182050,0
"98","0","M",169074.25,"SENP","26-30",681,1,"CA",177,14,17,6,2,0,1,8,"0",10400,475180,87870,0,148838,"0",0,0,0,0,5200,79196.67,10983.75,0,148838
"99","0","M",1288216.38,"SENP","41-45",801,23,"SA",40,14,1,1,0,0,0,0,"1",0,223340,0,0,0,"0",0,0,0,0,0,223340,0,0,0
"100","0","M",198322.27,"PROF","26-30",248,20,"SA",78,8,5,0,1,0,0,4,"1",8800,0,98060,0,0,"0",0,0,0,0,8800,0,24515,0,0
"101","0","M",1632079,"SAL","41-45",105,27,"SA",173,20,1,0,1,0,0,0,"0",6000,0,0,0,0,"0",0,0,0,0,6000,0,0,0,0
"102","0","F",1050241.35,"SENP","31-35",183,19,"SA",164,17,14,2,2,4,1,5,"1",9900,327310,261550,438814,66069,"0",0,0,1,0,4950,163655,52310,109703.5,66069
"103","0","M",1419961.51,"SELF-EMP","36-40",210,4,"SA",100,6,4,1,0,0,0,3,"0",0,375970,16070,0,0,"0",0,0,0,0,0,375970,5356.67,0,0
"104","0","F",477578.65,"SELF-EMP","26-30",258,15,"SA",52,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"105","0","F",3120315.7,"SENP","36-40",194,22,"SA",150,4,4,2,1,1,0,0,"0",3400,820,0,319836,0,"1",0,0,0,0,3400,410,0,319836,0
"106","0","M",216124.48,"SAL","36-40",429,18,"SA",103,12,6,2,1,1,0,2,"0",100,433210,82400,26600,0,"0",0,0,0,0,100,216605,41200,26600,0
"107","0","F",21600.79,"SENP","36-40",895,10,"SA",88,10,5,2,1,1,0,1,"1",7800,167820,0,174203,0,"1",0,0,0,1,7800,83910,0,174203,0
"108","0","F",1024526.91,"PROF","26-30",186,28,"CA",173,23,3,3,0,0,0,0,"0",0,841420,0,0,0,"0",0,0,0,0,0,280473.33,0,0,0
"109","0","F",13158.14,"SELF-EMP","41-45",105,15,"SA",88,18,14,6,2,4,1,1,"1",35400,198430,51490,326421,170332,"0",0,0,0,0,17700,33071.67,51490,81605.25,170332
"110","0","M",101598.65,"SAL","31-35",168,11,"SA",115,20,14,0,2,4,1,7,"0",2200,0,346850,170678,58377,"0",0,0,0,0,1100,0,49550,42669.5,58377
"111","0","F",140228.35,"SENP","26-30",361,29,"SA",141,2,2,1,1,0,0,0,"0",1900,362530,0,0,0,"0",0,0,0,0,1900,362530,0,0,0
"112","1","M",44297.92,"SENP","41-45",114,3,"SA",182,6,6,1,1,0,0,4,"1",15700,292290,66289,0,0,"1",0,0,1,0,15700,292290,16572.25,0,0
"113","0","M",1610175.31,"PROF","<25",814,9,"SA",88,7,7,2,1,0,0,4,"1",14800,226870,19590,0,0,"0",0,0,0,0,14800,113435,4897.5,0,0
"114","0","M",935489.18,"SAL","31-35",325,19,"SA",119,12,6,1,1,0,0,4,"0",10600,837100,14590,0,0,"0",0,0,0,0,10600,837100,3647.5,0,0
"115","0","F",1200478.93,"PROF","46-50",567,19,"SA",30,5,4,2,0,0,0,2,"0",0,230250,11460,0,0,"0",0,0,0,0,0,115125,5730,0,0
"116","0","M",19701.96,"SAL",">50",179,2,"SA",142,16,15,8,2,4,1,0,"0",1000,357800,0,565132,84710,"0",0,0,0,0,500,44725,0,141283,84710
"117","0","M",622546.52,"SENP",">50",357,11,"SA",75,8,6,1,1,0,0,4,"1",400,397380,74490,0,0,"0",0,0,0,0,400,397380,18622.5,0,0
"118","0","F",3675.21,"PROF","41-45",215,7,"SA",132,7,6,2,1,1,0,2,"0",2600,730110,91860,432818,0,"0",0,0,0,0,2600,365055,45930,432818,0
"119","0","M",83666.06,"SENP",">50",328,17,"SA",90,8,5,0,1,0,0,4,"0",18500,0,78820,0,0,"0",0,0,0,0,18500,0,19705,0,0
"120","0","M",9896.37,"PROF","36-40",275,13,"SA",197,12,6,1,1,0,0,4,"1",16000,716400,15920,0,0,"1",0,0,0,1,16000,716400,3980,0,0
"121","0","M",68850.71,"PROF","26-30",892,21,"CA",203,53,1,0,1,0,0,0,"0",7600,0,0,0,0,"0",0,0,0,0,7600,0,0,0,0
"122","1","F",135892.63,"SELF-EMP","31-35",833,19,"CA",68,12,14,1,2,4,1,6,"1",29900,739670,430370,265191,130037,"1",0,0,0,0,14950,739670,71728.33,66297.75,130037
"123","0","F",537597.88,"PROF","31-35",536,3,"SA",91,8,6,0,1,1,0,4,"0",9100,0,39890,441073,0,"0",0,0,0,0,9100,0,9972.5,441073,0
"124","0","M",1453391.57,"SELF-EMP","36-40",360,6,"SA",46,16,15,7,2,4,1,1,"0",37300,374290,10180,18280,154252,"1",0,0,0,1,18650,53470,10180,4570,154252
"125","0","M",74551,"PROF","36-40",568,14,"SA",145,3,2,0,0,0,0,2,"0",0,0,42160,0,0,"0",0,0,0,0,0,0,21080,0,0
"126","0","M",509072.22,"SAL","46-50",309,17,"SA",217,0,0,0,0,0,0,0,"1",0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"127","0","M",140053.3,"PROF","46-50",140,9,"SA",92,4,3,0,0,0,0,3,"1",0,0,37300,0,0,"0",0,0,0,0,0,0,12433.33,0,0
"128","1","M",331342.55,"PROF",">50",390,21,"SA",154,2,1,1,0,0,0,0,"0",0,453300,0,0,0,"0",0,0,0,0,0,453300,0,0,0
"129","0","M",108329.5,"PROF","26-30",183,26,"SA",179,5,2,1,1,0,0,0,"0",2000,623220,0,0,0,"0",0,0,0,0,2000,623220,0,0,0
"130","0","F",2220539.23,"SENP","31-35",248,5,"SA",54,6,5,1,1,1,0,2,"0",19800,866300,47120,424532,0,"0",0,0,0,0,19800,866300,23560,424532,0
"131","0","M",39460.86,"SAL","26-30",373,23,"SA",210,5,4,4,0,0,0,0,"0",0,139690,0,0,0,"0",0,0,0,0,0,34922.5,0,0,0
"132","0","O",71464,"PROF","41-45",317,24,"CA",75,11,3,0,1,1,1,0,"0",5300,0,0,839035,195824,"0",0,0,0,0,5300,0,0,839035,195824
"133","0","F",34186.57,"SAL","31-35",118,19,"CA",171,72,2,0,2,0,0,0,"0",10900,0,0,0,0,"1",0,0,0,0,5450,0,0,0,0
"134","1","M",9540.22,"SAL","26-30",222,12,"SA",40,11,5,2,1,1,0,1,"1",14400,248880,0,815270,0,"0",0,0,0,0,14400,124440,0,815270,0
"135","1","M",5105.86,"PROF","36-40",583,3,"CA",112,44,18,8,2,0,1,7,"0",43000,955890,204760,0,174474,"0",0,0,0,0,21500,119486.25,29251.43,0,174474
"136","0","O",333614.56,"SAL","41-45",168,25,"CA",113,39,3,3,0,0,0,0,"0",0,78540,0,0,0,"0",0,0,0,0,0,26180,0,0,0
"137","0","F",471464.76,"SENP","41-45",290,1,"SA",117,12,6,3,1,1,0,1,"0",2400,857280,0,494397,0,"0",0,0,0,0,2400,285760,0,494397,0
"138","0","M",192849.23,"SENP","31-35",102,24,"CA",52,5,1,0,0,0,0,1,"1",0,0,58980,0,0,"0",0,0,0,1,0,0,58980,0,0
"139","0","F",91173.94,"SENP","26-30",858,13,"SA",126,8,5,1,1,1,0,2,"1",5200,680210,30750,391231,0,"0",0,0,0,0,5200,680210,15375,391231,0
"140","0","F",126187.08,"SENP","36-40",202,9,"SA",172,14,7,0,1,1,0,5,"0",13100,0,433650,435584,0,"0",0,0,0,0,13100,0,86730,435584,0
"141","0","F",45176.34,"SENP",">50",795,17,"CA",163,16,21,1,2,6,1,11,"0",42700,935400,3511970,233086,88687,"0",0,0,0,0,21350,935400,319270,38847.67,88687
"142","0","M",119614.79,"SAL","41-45",763,1,"SA",205,8,5,1,1,1,0,2,"0",2900,701600,90820,132016,0,"0",0,0,0,0,2900,701600,45410,132016,0
"143","0","F",2261024.19,"PROF",">50",107,7,"SA",135,0,0,0,0,0,0,0,"0",0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"144","0","M",34835.8,"SAL","41-45",931,14,"SA",125,16,15,8,2,4,1,0,"0",22300,921420,0,999010,117902,"0",0,0,0,0,11150,115177.5,0,249752.5,117902
"145","1","M",41132.13,"SENP","36-40",894,5,"CA",47,16,21,10,2,6,1,2,"0",16500,656380,60910,827841.8,154075,"0",0,0,0,0,8250,65638,30455,137973.63,154075
"146","0","M",338750.85,"SENP",">50",214,5,"SA",168,6,5,1,1,1,0,2,"0",9900,692650,38940,961648,0,"0",0,0,0,0,9900,692650,19470,961648,0
"147","0","M",3383.75,"SELF-EMP","26-30",776,30,"SA",146,7,3,0,1,2,0,0,"0",13100,0,0,973557,0,"0",0,0,0,0,13100,0,0,486778.5,0
"148","0","M",284525.26,"PROF","36-40",307,9,"CA",101,25,32,5,4,10,2,11,"0",44700,705190,109970,354675,84347,"0",0,0,0,0,11175,141038,9997.27,35467.5,42173.5
"149","0","M",447506.49,"SENP",">50",622,6,"SA",60,10,6,1,1,0,0,4,"1",18700,149320,32350,0,0,"0",0,0,0,0,18700,149320,8087.5,0,0
"150","0","F",264336.77,"SELF-EMP","31-35",815,6,"SA",161,6,5,1,1,1,0,2,"0",7900,378530,94310,455370,0,"0",0,0,0,0,7900,378530,47155,455370,0
"151","0","M",117851.26,"SENP","41-45",189,26,"SA",70,4,1,0,0,0,0,1,"0",0,0,67070,0,0,"1",0,0,0,0,0,0,67070,0,0
